#judge	data/song_endword_en.tsv=6356fe55b086e4a569c00d91bcda26f2	data/song_rhymepair_en.tsv=a13857d4899fef3b53e2d993dac8103e
relation	family	words	classes	chain_hi	certified	chain_lo	witness	examples
RHYME	IY	342	228	228	1	34	ve gee probably nobody company tv sea disagree ricky library ability guarantee marie degree jeremy kenny apology thirty ye li petty shitty hawaii yi louie cd dvd dc cory oui crappy inquiry nypd debris	we see probably nobody company tv key sea
RHYME	EY-T	259	192	192	1	37	trait kate straight eight appreciate procreate celebrate concentrate investigate operate roommate communicate cooperate locate negotiate eliminate indicate congratulate tolerate participate evacuate demonstrate activate underestimate magistrate donate manipulate humiliate inmate generate exaggerate medicate calculate initiate interrogate isolate penetrate	wait great late straight eight appreciate create celebrate
RHYME	OW	315	183	183	1	37	grow oh tomorrow though whoa joe radio kyo owe photo ohh studio chicago mexico shadow moscow potato solo romeo cargo rainbow buffalo risotto tobacco ceo au angelo audio elbow poirot ammo sew stereo memo willow beau rodeo	no know oh tomorrow though whoa joe radio
RHYME	EY	287	147	147	1	40	hey okay ok anyway yesterday birthday sunday dna re holiday someday thursday yay cia highway tae cafe subway andre hallway runway ballet yea broadway weigh railway dj jose sensei uk mei rene fiance driveway screenplay norway runaway renee getaway bouquet	they okay ok anyway yesterday birthday sunday dna
RHYME	EY-T-IH-D	190	146	146	1	39	awaited related separated educated sophisticated graduated humiliated eliminated appreciated activated devastated decorated celebrated donated calculated manipulated contaminated designated anticipated concentrated underestimated intimidated liberated agitated elevated evacuated terminated automated demonstrated assassinated interrogated tolerated incorporated obligated intoxicated aggravated infiltrated penetrated suffocated	waited related separated educated sophisticated graduated humiliated eliminated
RHYME	EY-T-IH-NG	142	118	118	1	40	waiting dating fascinating investigating creating celebrating operating humiliating frustrating imitating devastating negotiating irritating communicating exaggerating concentrating graduating intimidating suffocating cooperating separating manipulating participating decorating stimulating indicating calculating incriminating interrogating accelerating donating impersonating generating masturbating rotating penetrating intoxicating demonstrating contemplating locating	waiting dating fascinating investigating creating celebrating operating humiliating
RHYME	AY-Z	142	97	97	1	34	guys heyes thighs advise apologize lies baptize recognize exercise realise recognise apologise enterprise organize merchandise butterflies likewise analyze criticize memorize improvise franchise jeopardize advertise supervise stabilize goodbyes authorize neutralize visualize intensifies specialize alibis minimize	guys eyes sighs surprise realize otherwise apologize lies
RHYME	EH-R-IY	135	93	93	1	36	harry scary military necessary jerry secretary ordinary extraordinary fairy carrie temporary cemetery primary january revolutionary legendary sanctuary strawberry solitary imaginary monastery preliminary secondary rosemary dictionary literary raspberry kari missionary mercenary terri disciplinary vocabulary teri carey culinary	very marry mary military necessary jerry secretary ordinary
RHYME	AY-D	159	87	87	1	38	outside lied suicide guide satisfied homicide terrified identified qualified occupied clyde classified countryside testified notified override unjustified modified certified cyanide dioxide bedside seaside preoccupied undignified backside crucified verified horrified riverside genocide dyed downside petrified unified landslide glorified mortified	inside died suicide guide satisfied homicide terrified identified
RHYME	UW	229	87	87	1	31	undo woo few que ooh view lou statue wu tissue yu mchugh barbecue liu oooh rendezvous lulu coup breakthrough cuckoo yoo voodoo residue vous debut preview hindu eu iq manu yahoo	you to too new through true ooh view
